company_a,company_b,correlation,p_value,n_obs,p_value_fdr,significant
HCL Technologies Ltd.,Tech Mahindra Ltd.,0.9444313655858503,1.225240349158663e-09,19,1.225240349158663e-08,True
Infosys Ltd.,Wipro Ltd.,0.9388023716607451,2.7290239520507757e-09,19,1.3645119760253878e-08,True
Tata Consultancy Services Ltd.,HCL Technologies Ltd.,0.9353048946151082,4.324519410428057e-09,19,1.4415064701426858e-08,True
HCL Technologies Ltd.,Wipro Ltd.,0.9169349159443063,3.396073217817629e-08,19,7.499889775194031e-08,True
Tata Consultancy Services Ltd.,Tech Mahindra Ltd.,0.9149198344880908,4.1344580220204336e-08,19,7.499889775194031e-08,True
Wipro Ltd.,Tech Mahindra Ltd.,0.91403667298913,4.499933865116418e-08,19,7.499889775194031e-08,True
Tata Consultancy Services Ltd.,Wipro Ltd.,0.9114610436247861,5.731823798149161e-08,19,8.188319711641658e-08,True
Tata Consultancy Services Ltd.,Infosys Ltd.,0.9059373302588826,9.404448982467863e-08,19,1.1755561228084829e-07,True
Infosys Ltd.,HCL Technologies Ltd.,0.8810269668527897,6.347935007173844e-07,19,7.053261119082048e-07,True
Infosys Ltd.,Tech Mahindra Ltd.,0.8438439555025434,5.612229426594222e-06,19,5.612229426594222e-06,True
